CO2SoilSB
18:30:00 23/01/2023,443,17.86,89.91,522,17.95,89.82,594,16.24,90.34,376,16.32,87.26,595,16.01,97.25,891,16.03,95.88,3.11,5.09,5.14,8.47,3.00,380.00,2.00,4.22
18:40:00 23/01/2023,440,17.83,89.97,519,17.90,90.01,594,16.25,90.32,385,16.36,87.27,587,15.93,97.36,901,15.96,95.99,4.35,6.49,7.36,10.92,2.00,383.00,2.00,4.22
18:50:00 23/01/2023,435,17.77,90.04,512,17.82,90.15,587,16.25,90.31,382,16.38,87.20,582,15.84,97.46,907,15.89,96.09,4.79,3.85,8.15,6.30,4.00,381.00,2.00,4.22
19:00:00 23/01/2023,428,17.73,90.12,505,17.79,90.26,589,16.31,90.31,379,16.41,87.23,574,15.78,97.58,882,15.86,96.26,3.73,6.84,6.26,11.52,2.00,380.00,2.00,4.22
19:10:00 23/01/2023,434,17.69,90.18,506,17.72,90.41,601,16.35,90.34,388,16.42,87.23,579,15.73,97.68,874,15.83,96.35,4.41,6.58,7.48,11.07,4.00,381.00,4.00,4.22
19:20:00 23/01/2023,423,17.63,90.26,510,17.66,90.51,595,16.35,90.35,383,16.47,87.22,561,15.64,97.79,886,15.77,96.48,4.95,4.86,8.44,8.06,2.00,380.00,3.00,4.22
19:30:00 23/01/2023,426,17.60,90.34,503,17.56,90.60,602,16.35,90.31,386,16.50,87.22,575,15.60,97.89,888,15.72,96.58,5.08,5.13,8.66,8.54,2.00,381.00,3.00,4.22
19:40:00 23/01/2023,417,17.52,90.40,499,17.52,90.70,603,16.42,90.37,383,16.50,87.25,575,15.51,97.98,889,15.65,96.68,3.05,4.57,5.04,7.56,2.00,379.00,2.00,4.22
19:50:00 23/01/2023,419,17.50,90.44,486,17.45,90.80,610,16.42,90.35,390,16.51,87.28,558,15.43,98.08,879,15.56,96.78,4.38,4.34,7.41,7.15,3.00,378.00,3.00,4.22
20:00:00 23/01/2023,412,17.43,90.47,482,17.38,90.86,602,16.44,90.38,395,16.52,87.29,573,15.38,98.14,872,15.52,96.89,4.66,3.98,7.92,6.54,2.00,379.00,3.00,4.22
20:10:00 23/01/2023,409,17.39,90.52,476,17.30,91.00,604,16.47,90.39,388,16.55,87.35,544,15.31,98.27,839,15.44,96.99,5.17,3.20,8.83,5.17,3.00,379.00,2.00,4.22
20:20:00 23/01/2023,404,17.35,90.55,482,17.21,91.07,597,16.48,90.44,392,16.56,87.35,587,15.23,98.32,843,15.39,97.04,4.39,4.37,7.43,7.20,3.00,378.00,3.00,4.22
20:30:00 23/01/2023,402,17.26,90.57,466,17.18,91.16,612,16.48,90.43,400,16.54,87.39,556,15.16,98.42,867,15.34,97.11,3.90,3.80,6.55,6.21,2.00,378.00,2.00,4.23
